Course Name,Job Mapping 1,Job Mapping 2
LINEAR ALGEBRA,Healthcare Data Analyst,Pharmaceutical Scientist
CALCULUS,Systems Architect,Project Manager
C PROGRAMMING,Materials Scientist,Process Engineer
PYTHON,Patent Analyst,Mechanical Engineer
APPLIED SCIENCE,Robotics Engineer,Automation Specialist
ELECTRICAL ENGINEERING,Construction Manager,Urban Planner
FRENCH,Process Engineer,Industrial Engineer
JAPANESE,Cybersecurity Specialist,Network Engineer
ENGINEERING DESIGN & DEVELOPMENT 1,Urban Planner,Energy Analyst
PROFESSIONAL DEVELOPMENT-1,Lab Technician,Systems Architect
ENGINEERING MECHANICS,Construction Manager,Urban Planner
APPLIED PHYSICS,Lab Technician,Systems Architect
BEHAVIORAL SCIENCES,Embedded Systems Engineer,Machine Learning Engineer
SOFT SKILLS,Mechanical Engineer,Electrical Engineer
ENGINEERING DRAWING,Systems Architect,Project Manager
ENGINEERING DESIGN & DEVELOPMENT-2,Operations Manager,Quality Assurance Engineer
CHESS,Chemical Engineer,Materials Scientist
FLUTE,Database Administrator,Cybersecurity Specialist
PHOTOGRAPHY,Industrial Engineer,Production Manager
TREKKING,Network Engineer,Technical Writer
HARDWARE & SOFTWARE WORKSHOP ,Systems Architect,Project Manager
MACHINING WORKSHOP ,AI Specialist,Bioinformatics Scientist
INDUCTION TRAINING,Quality Assurance Engineer,Compliance Officer
ENVIRONMENTAL SCIENCE,Data Engineer,DevOps Engineer
NETWORK AND INFORMATION SECURITY ,Bioinformatics Scientist,Biostatistician
INTERNET OF THINGS ,Mathematics Tutor,Software Developer
MOBILE APPLICATION DEVELOPMENT ,UI Developer,Full Stack Developer
MECHANICAL OPERATIONS,Industrial Engineer,Production Manager
CHEMICAL REACTION KINETICS,Civil Engineer,Construction Manager
DATA COMPRESSION,Quality Assurance Engineer,Compliance Officer
POWER ELECTRONICS ,AI Specialist,Bioinformatics Scientist
DIGITAL INTEGRATED CIRCUIT DESIGN,Full Stack Developer,Digital Marketing Specialist
ARTIFICIAL INTELLIGENCE ,Environmental Consultant,Healthcare Data Analyst
OPERATING SYSTEMS,Web Developer,Data Engineer
MICROPROCESSOR & MICROCONTROLLERS,Civil Engineer,Construction Manager
SYSTEM PROGRAMMING,Systems Architect,Project Manager
DATABASE MANAGEMENT SYSTEMS,Cloud Architect,AI Specialist
DISTRIBUTED ALGORITHMS,Data Scientist,Quantitative Analyst
FLUID FLOW OPERATIONS,Bioinformatics Scientist,Biostatistician
PROCESS CALCULATIONS,Web Developer,Data Engineer
CHEMICAL ENGINEERING THERMODYNAMICS,Machine Learning Engineer,Software Engineer
 NETWORK THEORY,Industrial Engineer,Production Manager
FLUID MECHANICS,Software Developer,Embedded Systems Engineer
SIGNALS AND SYSTEMS ,Data Engineer,DevOps Engineer
DIFFERENTIAL EQUATIONS,Construction Manager,Urban Planner
DIGITAL ELECTRONICS,Industrial Engineer,Production Manager
STRENGTH OF MACHINE ELEMENTS,Urban Planner,Energy Analyst
PROBABILITY AND STATISTICS ,Marketing Manager,HR Manager
THEORY OF MACHINES,Database Administrator,Cybersecurity Specialist
APPLIED THERMODYNAMICS,Materials Scientist,Process Engineer
MACHINE TOOLS & PROCESSES,Data Scientist,Quantitative Analyst
